,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
40,acoustic,Please Don't Say You Love Me,4y0GYqBSHEy7e1FOemdLjK,32,-9.862,85.994,181400,0.541,0,0.0,0.0545,0.321,0.479
41,acoustic,Billie Jean,4zzi2eD2cEPpQ3a307mPPj,63,-8.524,89.646,259920,0.203,9,0.0,0.0668,0.543,0.532
42,acoustic,Warwick Avenue,5Og47k4AHrotP2QP36p5iO,7,-5.814,169.908,226387,0.59,0,0.0,0.0392,0.502,0.493
43,acoustic,Don't Stop Believin',71Qc66ucEtfXYUj6U2it9l,0,-9.731,113.872,256160,0.234,7,0.0,0.0299,0.302,0.424
44,acoustic,Right Here,6SKxEiP89WRgniJuQ5gR94,0,-4.964,92.033,204187,0.604,10,0.0,0.0443,0.681,0.646
45,acoustic,XO,7cpCU3Denug5NGZsSpQl8v,72,-9.753,173.67,213627,0.377,2,0.0,0.0288,0.353,0.431
46,acoustic,Through The Dark,3Xakb20OXM5ZArqHqPTpiZ,0,-18.624,123.211,330067,0.127,7,0.916,0.0439,0.189,0.566
47,acoustic,Heartless - Swinghouse Session,0DU2iZx61j4QCsjEJQHeS8,0,-7.875,81.79,254800,0.662,9,0.0,0.0795,0.447,0.483
48,acoustic,I Won't Give Up,05pKAafT85jeeNhZ6kq7HT,69,-10.058,136.703,240166,0.303,4,0.0,0.0398,0.142,0.585
49,acoustic,Airplanes (feat. DeStorm Power),4Ljd15LovCmrdLiRGuyH3d,0,-7.846,92.951,175883,0.663,6,0.0,0.0868,0.544,0.68
50,acoustic,Bang Bang - My Baby Shot Me Down,1s2I9Q7zAE78m7aVZOq3ug,58,-22.644,186.46,160440,0.12,5,0.0963,0.0514,0.382,0.356
51,acoustic,More Than Words,7z0JcZ8PQoAfUaLIXvbyTH,8,-14.201,91.354,335947,0.144,6,0.0,0.0298,0.255,0.621
52,acoustic,"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,17,-4.432,97.03,216667,0.885,1,0.0,0.0436,0.768,0.675
53,acoustic,Somebody That I Used to Know,0VVMuMXtkASPWfAWyW2KPH,39,-5.785,129.059,248720,0.452,0,8.19e-05,0.0421,0.436,0.849
54,acoustic,From Nowhere - Live At Spotify Offices / 2013,3tWqCtjZOwSWYJCVrRdAP0,23,-7.451,82.913,206565,0.559,4,6.46e-05,0.0313,0.337,0.492
55,acoustic,Roar (feat. Bea Miller),6TT0FLa9jTDJKKVrAlr6P0,0,-7.714,180.424,212914,0.32,5,0.0,0.0401,0.264,0.48
56,acoustic,Feel so High,5yzwVf8LUGkddE7wgPIy4v,25,-10.809,80.433,236240,0.549,5,0.0,0.0567,0.546,0.59
57,acoustic,Twilight,5E66OVN3EugJ1CcD2YokTP,0,-13.039,140.998,269360,0.377,0,0.00223,0.0351,0.487,0.428
58,acoustic,Home/Dirty Paws,24rFwAcC6eqPvyMuPynVGH,58,-10.89,115.028,173509,0.208,2,0.0,0.0313,0.232,0.663
59,acoustic,Don't Speak,19sgZKHoi11uC8cdHjKiRn,45,-13.142,130.122,249173,0.288,9,0.0,0.0316,0.58,0.716
60,acoustic,Utan dina andetag,6Xz1aikik2Qy81JXxpHvNB,45,-7.565,91.184,260600,0.238,11,0.000506,0.0287,0.153,0.595
61,acoustic,Coming Home (feat. DeStorm Power),48ZZiqwd6V9c7BBgZjJ0pl,0,-6.956,168.054,198191,0.847,0,0.0,0.384,0.544,0.371
62,acoustic,Love Is All,2qppEPX84bYQmgBjCeF8FO,2,-11.48,107.238,254827,0.254,2,0.000375,0.0299,0.354,0.63
63,acoustic,Somebody That I Used To Know,5k3TjK9MbVqxj8VNNsyBoB,38,-7.531,133.812,191750,0.371,0,0.0,0.0406,0.394,0.72
64,acoustic,Radioactive,6PV2t3fdgUGuo0H0aVW6J8,45,-7.8,139.001,174048,0.255,0,0.0,0.0445,0.272,0.607
65,acoustic,The Lion's Roar,3P6p25MvU3qnvWa8L7i5Lr,6,-5.848,123.41,307000,0.532,9,6.92e-06,0.0298,0.199,0.485
66,acoustic,Half of My Heart (feat. Savannah Outen),3bhEeOaJWG0JDoF1hd2IUm,0,-6.711,118.493,233861,0.759,5,0.0,0.0467,0.811,0.657
67,acoustic,Gangnam Style,6mFzy1Jha9RSCcQAJZ1M6y,41,-10.827,114.07,182800,0.391,0,0.0,0.0518,0.591,0.825
68,acoustic,Fast Car,2M9ro2krNb7nr7HSprkEgo,78,-15.523,103.951,296800,0.292,4,0.0,0.037,0.194,0.711
69,acoustic,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",3B7udSGy2PfgoCniMSb523,74,-20.514,152.037,300840,0.0549,10,0.0,0.0397,0.234,0.581
70,acoustic,Crazy in Love,6m0qBDIhzICOwWMPZdgyVK,58,-9.401,78.906,227500,0.326,7,0.0,0.119,0.489,0.606
71,acoustic,Flake,2JabZQ0QAV0YgN7H9W8vgw,0,-10.8,97.691,283400,0.657,5,0.0438,0.0397,0.965,0.754
72,acoustic,Come On Get Higher,38YgZVHPWOWsKrsCXz6JyP,72,-5.699,92.018,215173,0.623,9,0.0,0.0297,0.617,0.672
73,acoustic,I Miss You (feat. Cobus Potgieter),2Fx6O9a3tkIwRuZFV1QBBx,0,-6.066,110.011,215584,0.692,2,0.0,0.0293,0.801,0.761
74,acoustic,Down To Earth,19HGCfn5RKs66kXs2bMsdt,0,-4.795,82.003,245760,0.718,2,0.0,0.0268,0.155,0.543
75,acoustic,Telescope,7KREXtq0xSJND9t7IcBizQ,31,-9.608,112.087,149147,0.3,2,1.43e-06,0.0381,0.388,0.774
76,acoustic,Breakdown,3cnRYoW4nYzIuVPCp7k5iG,57,-9.252,74.977,212707,0.394,0,1.36e-05,0.0516,0.443,0.773
77,acoustic,The Stable Song,3G9ETaH55bMQx8hwNhAgbU,66,-11.948,137.926,360933,0.432,2,0.00242,0.0283,0.361,0.625
