Genre,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
acoustic,31.77,-10.109200000000001,119.45340999999999,236517.44,0.41788899999999995,4.92,0.04971482429999999,0.043705999999999995,0.3841440000000001,0.5498999999999998
afrobeat,11.49,-7.940680000000001,119.63475000000003,291627.6,0.6706309999999999,5.7,0.08099964189999997,0.07846200000000002,0.7347600000000001,0.65928
alt-rock,28.15,-7.046410000000002,128.58114000000003,242760.98,0.7441900000000004,5.06,0.0852104836,0.053518999999999976,0.47088899999999984,0.46936699999999976
alternative,45.8421052631579,-5.941326315789474,120.90076842105263,231153.90526315788,0.7660526315789474,5.621052631578947,0.04812227957894739,0.05053999999999997,0.4943273684210526,0.5307894736842104
ambient,18.4,-19.527769999999997,110.09134999999998,328447.3,0.2602698,4.45,0.7925978699999999,0.04521200000000001,0.12104100000000002,0.29904
anime,20.14,-4.4554599999999995,135.95248,256428.25,0.8324499999999999,5.32,0.023435622500000006,0.06801499999999999,0.51971,0.51201
black-metal,7.19,-6.8134900000000025,123.54237999999995,324875.64,0.8998199999999994,5.32,0.5967121000000002,0.09139000000000001,0.13059899999999997,0.20392200000000002
bluegrass,15.505050505050505,-9.781606060606062,133.75179797979797,210418.22222222222,0.5122010101010102,5.929292929292929,0.12921236757575758,0.04124949494949496,0.6569393939393937,0.5407373737373737
blues,21.747474747474747,-9.642363636363639,125.20692929292926,229666.88888888888,0.5504898989898991,5.181818181818182,0.0756131363636364,0.06520101010101013,0.643090909090909,0.5433434343434342
bossanova,4.79,-12.385550000000007,114.21990000000005,187438.67,0.4295809999999999,5.4,0.13532848940000006,0.05232499999999999,0.5779100000000001,0.55168
brazil,28.42,-8.66129,128.89429,226852.12,0.60337,5.69,0.0235388323,0.05612000000000002,0.61689,0.5997399999999998
breakbeat,8.14,-8.052600000000004,133.06461000000004,311586.21,0.7978500000000001,5.58,0.4819104422999999,0.08416400000000002,0.564226,0.6520599999999999
british,39.10227272727273,-6.880318181818177,121.42597727272727,231503.5909090909,0.7124886363636364,5.238636363636363,0.06981205499999998,0.05795681818181817,0.5650090909090909,0.5629204545454545
cantopop,14.3,-8.598989999999997,119.86425999999997,242535.68,0.4975900000000002,5.33,0.0069678870999999995,0.042326000000000016,0.4123729999999998,0.5854399999999998
chicago-house,6.333333333333333,-10.922101010101008,121.94650505050502,360109.8888888889,0.6919292929292932,6.070707070707071,0.3750118817171719,0.07847979797979798,0.6401515151515149,0.7402424242424241
children,34.62222222222222,-8.512366666666667,117.00194444444446,195499.72222222222,0.5804222222222225,4.811111111111111,0.054429710222222254,0.08568000000000002,0.5547255555555555,0.5892088888888889
chill,46.31578947368421,-8.398342105263163,117.80343421052633,252370.73684210525,0.5621868421052634,4.578947368421052,0.10794129013157894,0.04755131578947368,0.41111315789473685,0.5993157894736842
classical,30.41,-22.932589999999994,103.68453999999996,372315.64,0.11817279999999998,4.62,0.7293816763,0.04641900000000001,0.13490300000000002,0.24850099999999994
club,37.303030303030305,-5.358333333333333,125.61479797979801,249106.75757575757,0.7994848484848484,5.292929292929293,0.18788097282828287,0.08304141414141412,0.46967575757575747,0.6447272727272728
comedy,28.0,-9.25663,97.01832999999995,265413.52,0.78704,5.42,1.5627000000000005e-06,0.9167200000000001,0.3572020000000001,0.5468499999999998
