,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
899,blues,Midnight Rider,7egyR1d4Xmr1TsmpJct9bL,1,-13.128,94.646,178000,0.459,7,0.0173,0.0272,0.591,0.589
900,bossanova,A Felicidade - Instrumental,1Xv8qGn4f0dQNV0e8RTAlI,0,-14.511,86.52,297360,0.531,11,0.547,0.0383,0.536,0.375
901,bossanova,Eu Quero é Sorongar,14807iECuOsPdHSrB1ScmG,2,-6.39,131.013,169653,0.593,7,0.0,0.111,0.663,0.615
902,bossanova,Maçã,14W0jlXYCkmWABssJMDLef,0,-12.884,89.989,257333,0.364,7,2.37e-05,0.0397,0.295,0.764
903,bossanova,Samba de Gesse,1Rt3vhaz78DqgskwdF0Rwo,21,-8.831,130.445,157360,0.508,10,3.2e-05,0.0339,0.609,0.46
904,bossanova,Quando Chegares (When You Arrive),1xi7xeR72i3EsUxYzPwsVe,0,-19.185,92.26,186053,0.137,2,0.000355,0.0419,0.383,0.423
905,bossanova,Voce,4ebnAEDOoBDPgShnW1Cnbw,0,-10.103,156.068,144901,0.534,6,0.000102,0.0333,0.701,0.541
906,bossanova,Here's That Rainy Day,2P0nOcYl6xEjj39yo5R6BA,0,-16.852,132.444,154920,0.122,11,0.000276,0.0526,0.282,0.661
907,bossanova,E Vem o Sol,5H9Qw4EwuEzElq6ihi4LS0,0,-11.791,93.569,145867,0.425,5,0.000106,0.0299,0.677,0.552
908,bossanova,Deixa,6G7Si9hoDxLKZRmtosfZ2L,13,-6.906,110.26,153773,0.655,4,0.406,0.0285,0.573,0.565
909,bossanova,Caminho do Mar,2g7Wj0rhhBV9Enk7RXOKh8,31,-9.89,91.632,185453,0.509,0,0.000983,0.0407,0.637,0.677
910,bossanova,Sua Revelação,3vfTZJNAR9zqZfqqJSpo2j,0,-10.488,105.906,285180,0.355,1,0.00024,0.0263,0.244,0.627
911,bossanova,Marcha Da Quarta - Feira De Cinzas,20GqnmpbtsMF78bH4sC1Mf,0,-8.525,96.027,188552,0.519,7,0.0248,0.035,0.591,0.323
912,bossanova,Imperio Do Samba,3nB459MKMe6GjsiBK6tPlP,0,-3.042,90.149,205253,0.689,1,2.81e-06,0.0306,0.571,0.363
913,bossanova,Os Grilos - Crickets Sing for Ana Maria,0aczFvTW3JPiNVClkilIeP,0,-17.79,102.384,310733,0.521,4,0.0866,0.0501,0.628,0.709
914,bossanova,Berimbau,2wVFs7GK33kH4eR5d6eSiX,17,-11.742,92.983,189907,0.414,3,0.66,0.0278,0.303,0.427
915,bossanova,Rapunzel - Preo Remix,4xipDUILC7OcKgmAmvUeJi,0,-8.617,125.011,264693,0.78,7,0.198,0.0347,0.338,0.609
916,bossanova,Waraou,0RkkIqFVFygYOqzInrYffy,0,-11.626,85.598,105898,0.331,7,0.00793,0.0474,0.427,0.638
917,bossanova,A Rita,6JTdgLMwzCROSuBybZkx3U,0,-13.729,157.972,164080,0.431,7,0.831,0.044,0.811,0.703
918,bossanova,Sonho de Maria,46hrcHhOBqqkcKQnFPAmw2,0,-12.948,137.207,211333,0.359,0,4.82e-06,0.0311,0.322,0.348
919,bossanova,Bolido,5tcD7AEUxTQt7dmPQGLSnZ,8,-7.505,128.661,232307,0.715,2,0.782,0.051,0.961,0.542
920,bossanova,Dia Da Criação,6yOD1Iqs8ca5FeaCLzKtpl,10,-11.783,122.391,293893,0.244,8,0.0,0.418,0.354,0.576
